PIT_ID,first,last,kOneOB,oneOB,kTwoOB,twoOB,kThreeOB,threeOB,kScore
aardd001,David,Aardsma,17,118,12,45,3,12,7.47327597
abadf001,Fernando,Abad,33,165,14,80,4,15,7.05316954
abrej002,Juan,Abreu,2,8,2,8,2,2,19.30956284
accaj001,Jeremy,Accardo,16,119,8,60,2,11,4.94891349
aceva001,Alfredo,Aceves,49,327,24,139,3,30,4.21022274
acosm001,Manny,Acosta,37,173,16,76,4,21,6.35094079
adamm001,Mike,Adams,38,244,26,99,5,19,7.69515004
adcon001,Nathan,Adcock,26,140,6,54,1,10,3.74824904
affej001,Jeremy,Affeldt,50,267,22,127,6,36,5.43981829
albem001,Matt,Albers,59,319,21,178,10,62,4.75160423
albua001,Al,Alburquerque,46,143,30,88,9,33,9.60317776
allec002,Cody,Allen,40,137,16,66,6,20,8.79591989
alvah001,Henderson,Alvarez,50,410,14,156,1,31,2.13256795
ambrh001,Hector,Ambriz,24,142,14,84,8,31,6.66054790
andeb004,Brett,Anderson,61,362,27,134,3,24,5.00441667
archc001,Chris,Archer,39,181,13,57,4,9,10.41774898
arrej001,Jose,Arredondo,26,146,14,62,2,8,7.22325467
arrij001,Jake,Arrieta,83,523,43,218,6,46,4.98716627
arrob001,Bronson,Arroyo,129,948,36,302,4,43,3.45327560
atchs001,Scott,Atchison,43,238,11,110,4,21,4.97941716
atill001,Luis,Atilano,10,125,5,47,2,11,4.35708297
atkim001,Mitch,Atkins,8,36,4,14,1,5,7.35001123
aumop001,Phillippe,Aumont,11,53,7,23,1,5,7.46867388
avill001,Luis,Avilan,21,111,8,63,1,15,3.43016557
axeld001,Dylan,Axelrod,36,273,19,108,3,21,4.79843303
axfoj001,John,Axford,112,370,38,135,10,35,9.05736822
ayall001,Luis,Ayala,34,248,23,106,7,32,6.42476035
badeb001,Burke,Badenhop,51,313,21,156,6,40,4.63606226
baila001,Andrew,Bailey,58,176,10,47,1,12,5.38482020
bailh001,Homer,Bailey,153,755,61,293,13,35,9.02055775
bakes002,Scott,Baker,60,378,30,132,4,12,8.40123259
balec001,Collin,Balester,19,104,11,43,3,14,7.02701835
balfg001,Grant,Balfour,62,300,28,123,7,21,8.67136803
bardd001,Daniel,Bard,52,267,25,102,11,40,7.90395622
bassa001,Anthony,Bass,33,239,15,91,2,16,4.44169655
basta001,Antonio,Bastardo,53,204,30,94,10,27,10.51359904
batim001,Miguel,Batista,32,254,14,124,7,37,4.79474991
bauet001,Trevor,Bauer,5,47,4,22,1,7,4.72021699
bautd002,Denny,Bautista,11,45,8,27,1,8,6.44435028
beacb001,Brandon,Beachy,67,309,30,103,2,10,7.37965285
beatp001,Pedro,Beato,14,105,8,50,2,14,4.63550595
beavb001,Blake,Beavan,38,364,15,115,3,7,8.51045468
beckj002,Josh,Beckett,107,598,52,248,12,48,7.05471663
bedae001,Erik,Bedard,107,521,36,205,10,43,6.56987655
beimj001,Joe,Beimel,11,99,6,44,2,10,5.12887401
belim001,Matt,Belisle,79,391,33,199,8,31,6.83496092
belir001,Ronald,Belisario,46,246,22,133,5,27,5.63650778
bellh001,Heath,Bell,89,363,41,153,5,27,7.06120512
belod001,Duane,Below,12,93,5,54,1,8,3.61551777
benoj001,Joaquin,Benoit,83,303,41,128,6,22,9.11681130
bergj002,Justin,Berg,7,74,4,44,1,17,2.39794559
berkj001,Jason,Berken,30,193,20,90,3,17,5.93873225
betar001,Rafael,Betancourt,72,246,24,83,4,12,9.80970496
billc001,Chad,Billingsley,145,716,55,284,18,57,8.01602204
blacn001,Nick,Blackburn,42,572,17,202,1,17,2.20790084
blanj001,Joe,Blanton,145,729,35,250,7,28,6.41720044
blevj001,Jerry,Blevins,43,243,27,130,6,31,6.16232213
boggm001,Mitchell,Boggs,59,307,24,146,8,35,6.31530480
bondj001,Jeremy,Bonderman,48,301,14,123,1,18,2.95446581
bowdm001,Michael,Bowden,32,139,5,68,5,27,4.88956746
boxbb001,Brad,Boxberger,12,62,7,27,5,16,8.62071155
bracb001,Brad,Brach,37,146,19,78,6,21,8.37675290
bradd002,Dallas,Braden,25,230,13,88,4,12,7.26900870
bradz001,Zach,Braddock,25,75,12,37,2,11,8.10464710
brayb001,Bill,Bray,24,108,8,49,2,13,5.33156236
bresc001,Craig,Breslow,56,335,26,144,10,44,6.33031020
britz001,Zachary,Britton,57,335,16,151,4,27,4.34009161
brotr001,Rex,Brothers,68,250,22,75,9,24,10.37456622
broxj001,Jonathan,Broxton,43,229,32,105,1,15,5.33183755
buchc001,Clay,Buchholz,121,704,36,238,6,37,5.04976969
bucht001,Taylor,Buchholz,12,49,5,15,2,4,12.55824854
buckb002,Billy,Buckner,5,43,1,20,1,5,4.22992517
buehm001,Mark,Buehrle,129,1014,61,379,5,55,3.82026974
buenj001,Jay,Buente,1,27,1,18,5,12,7.15077717
bulgj001,Jason,Bulger,5,43,8,30,4,9,10.28156663
bumgm001,Madison,Bumgarner,201,889,65,307,7,44,5.95351259
burkg001,Greg,Burke,6,49,5,25,3,8,8.54168228
burna001,A.J.,Burnett,245,1045,74,364,18,72,7.29445364
burna002,Alex,Burnett,42,240,10,121,6,33,4.62959079
burnc001,Cory,Burns,8,54,5,29,3,8,8.38806889
burns001,Sean,Burnett,61,241,34,125,2,23,5.65187038
burtj001,Jared,Burton,28,149,13,64,2,15,5.25669917
bushd001,David,Bush,37,306,16,117,6,18,7.21897099
byrdt001,Tim,Byrdak,43,166,24,76,5,26,7.76025999
cabra003,Alberto,Cabrera,9,43,3,17,3,6,10.67572034
cahit001,Trevor,Cahill,134,927,50,332,10,47,5.66200015
cainm001,Matt,Cain,178,994,90,365,9,53,6.23007807
camps002,Shawn,Camp,36,323,24,147,6,36,4.91186658
cappc001,Carter,Capps,27,115,12,50,5,16,8.64279699
cappm001,Matt,Capps,30,213,14,95,4,18,5.75075622
capuc001,Chris,Capuano,97,667,43,238,13,51,6.63183380
carlj001,Jesse,Carlson,1,19,1,5,1,4,6.24950313
carmf001,Fausto,Carmona,72,700,33,276,6,42,4.03197218
carpa001,Andrew,Carpenter,4,38,4,18,1,3,8.05011045
carpc002,Chris,Carpenter,118,669,42,238,7,42,5.41421469
carpc003,Chris,Carpenter,1,28,2,21,2,5,7.31573230
carpd001,David,Carpenter,36,172,13,85,5,22,6.26767116
carpd002,David,Carpenter,8,53,7,32,2,7,7.54092157
carrc003,Carlos,Carrasco,34,253,24,128,2,21,4.21120823
carrd001,D.J.,Carrasco,26,173,8,85,4,22,4.61561707
carsr001,Robert,Carson,3,42,1,16,1,5,4.11515832
casha001,Andrew,Cashner,74,331,26,126,4,21,6.35988910
casta002,Alberto,Castillo,5,35,2,18,1,1,17.22283045
cecib001,Brett,Cecil,77,532,44,204,6,34,5.80909745
cedaj001,Jose,Ceda,6,38,5,15,1,8,6.36160550
cedex001,Xavier,Cedeno,12,64,7,44,2,14,4.92650012
chacg001,Gustavo,Chacin,7,51,6,47,3,8,7.84687319
chacj001,Jhoulis,Chacin,133,714,45,304,16,67,6.26274102
chamj002,Joba,Chamberlain,56,238,21,113,7,26,7.40464771
chapa001,Aroldis,Chapman,75,211,29,95,7,23,9.88959326
chatt001,Tyler,Chatwood,52,433,22,190,2,26,3.08253253
chavj001,Jesse,Chavez,34,193,19,109,6,23,6.82511460
chenb001,Bruce,Chen,102,715,39,275,13,58,5.73039095
chenw001,Wei-Yin,Chen,81,430,24,132,3,20,5.28428890
choar001,Randy,Choate,42,182,21,97,5,29,6.23366477
chulv001,Vinnie,Chulk,2,20,3,10,1,1,19.01374914
cingt001,Tony,Cingrani,32,120,13,37,3,9,10.33329259
cishs001,Steve,Cishek,54,241,23,103,9,29,8.37109235
clipt001,Tyler,Clippard,101,356,36,155,10,33,8.68701403
cobba001,Alex,Cobb,73,385,18,131,6,25,6.18536631
coelr001,Robert,Coello,11,39,3,18,3,8,9.06983145
cofft001,Todd,Coffey,33,163,20,93,4,26,5.77806681
cokep001,Phil,Coke,59,394,29,173,3,39,3.80401137
colec001,Casey,Coleman,26,227,18,113,1,26,2.93294981
colel001,Louis,Coleman,32,169,29,89,7,12,13.43903725
collj001,Josh,Collmenter,69,390,25,140,6,22,7.05573716
collt001,Tim,Collins,50,254,34,128,7,25,8.21224594
colob001,Bartolo,Colon,76,567,30,218,5,37,4.28132545
coloj001,Jesus,Colome,4,23,1,15,3,7,8.21150606
contj002,Jose,Contreras,31,121,12,52,3,10,8.47210627
cooka002,Aaron,Cook,38,426,16,181,5,35,3.62137807
cookr001,Ryan,Cook,40,174,20,100,6,19,8.23607688
corbp001,Patrick,Corbin,75,383,26,124,1,17,4.23571741
cordf002,Francisco,Cordero,47,244,19,89,2,22,4.74769085
corml001,Lance,Cormier,13,132,1,49,1,11,2.15114665
corpm001,Manuel,Corpas,29,200,14,102,2,20,3.80299823
corrk001,Kevin,Correia,113,825,40,304,4,37,3.82098042
cortd002,Dan,Cortes,2,18,1,10,1,5,4.73828716
cottn001,Neal,Cotts,21,66,12,22,1,6,10.16485819
craij001,Jesse,Crain,80,269,33,118,18,45,10.74963436
crowa001,Aaron,Crow,47,225,32,127,7,27,7.81639374
cruzj005,Juan,Cruz,28,122,11,55,4,17,7.00754421
cruzr001,Rhiner,Cruz,16,105,5,49,2,20,3.46574138
cuetj001,Johnny,Cueto,113,716,42,248,11,60,5.48865763
dalem002,Matt,Daley,13,51,1,15,1,5,5.17864370
dankj001,John,Danks,94,681,53,267,6,35,5.51046968
darvy001,Yu,Darvish,137,457,50,170,8,34,8.40866360
david002,Doug,Davis,27,134,5,64,7,29,5.63562680
davik002,Kyle,Davies,43,337,21,143,2,15,4.31733356
daviw001,Wade,Davis,117,731,48,288,12,56,5.94378044
dedus001,Samuel,Deduno,34,267,15,110,2,13,4.51578160
defrj001,Justin,"De Fratus",24,100,9,39,4,18,7.19713071
delad001,Dane,"de la Rosa",16,96,12,59,6,16,8.82361033
delae001,Eulogio,"de la Cruz",3,15,1,8,1,3,7.53185665
delaj001,Jorge,"de la Rosa",101,500,24,159,3,17,5.43163724
delar003,Rubby,"de la Rosa",17,96,7,37,3,11,7.17067382
delas001,Steve,Delabar,52,166,28,78,6,19,10.40654063
delcm001,Manny,Delcarmen,9,64,6,27,3,13,6.68377291
delgr001,Randall,Delgado,37,276,22,103,2,17,4.83106621
delof001,Fautino,"de los Santos",11,51,6,25,1,6,6.31482507
delre001,Enerio,"Del Rosario",14,134,8,81,2,16,3.54548214
dempr002,Ryan,Dempster,199,972,79,361,15,57,7.49684107
desse001,Elmer,Dessens,3,54,3,32,1,11,2.70055783
detwr001,Ross,Detwiler,55,444,23,174,8,33,5.80122640
devij001,Joey,Devine,7,31,7,19,1,5,8.25827741
diams001,Scott,Diamond,35,445,23,162,1,28,2.50583623
dickr001,R.A.,Dickey,185,1001,49,348,8,47,5.13197161
diekj001,Jacob,Diekman,19,85,12,60,5,12,9.73776844
dillt001,Tim,Dillard,15,82,10,43,1,9,5.20654180
donnb001,Brendan,Donnelly,8,46,7,27,1,7,5.92698106
dools001,Sean,Doolittle,35,147,15,51,2,8,8.29021539
doteo001,Octavio,Dotel,66,240,17,89,11,34,8.50795365
doubf001,Felix,Doubront,106,499,37,174,7,38,6.27017913
downd001,Darin,Downs,16,79,7,35,2,11,6.04298975
downs001,Scott,Downs,49,269,24,116,7,26,7.33576434
duenb001,Brian,Duensing,85,594,40,266,7,42,4.94911436
duffd001,Danny,Duffy,40,204,25,98,3,10,8.39965428
dukez001,Zach,Duke,48,377,23,183,1,29,2.58230988
dumap001,Phil,Dumatrait,10,59,6,39,2,9,5.97939304
dunnm002,Michael,Dunn,70,258,25,112,6,27,7.28987334
durbc001,Chad,Durbin,61,286,36,164,11,39,7.83945776
edgij001,Josh,Edgin,9,65,5,21,4,16,7.13525771
elbes001,Scott,Elbert,18,74,12,47,3,19,6.49872891
ely-j001,John,Ely,22,159,8,53,2,8,6.19861045
enrib001,Barry,Enright,24,215,9,61,3,7,8.73435189
eovan001,Nathan,Eovaldi,50,356,17,134,5,26,5.07255402
epplc001,Cody,Eppley,16,91,6,27,1,7,5.53977263
escae001,Edgmer,Escalona,24,145,3,42,3,10,6.25710199
estrm001,Marco,Estrada,85,429,30,138,8,21,9.23942163
eveld001,Dana,Eveland,16,155,7,76,3,20,3.84789774
famij001,Jeurys,Familia,6,30,3,17,1,7,5.18258355
farnk001,Kyle,Farnsworth,49,231,22,98,1,16,4.54133287
felin001,Neftali,Feliz,52,234,13,86,3,20,5.14296695
felip002,Pedro,Feliciano,17,99,7,53,3,19,4.77780506
fickc001,Chuckie,Fick,4,45,7,25,1,2,11.11915200
fienc001,Casey,Fien,25,101,7,44,3,14,6.34808300
fierm001,Michael,Fiers,46,198,18,66,1,10,5.74298544
fifes001,Stephen,Fife,19,116,10,50,2,11,5.82789513
figaa001,Alfredo,Figaro,15,115,10,49,1,11,4.30140990
figun001,Nelson,Figueroa,20,166,12,71,4,11,8.02479807
fistd001,Doug,Fister,142,952,49,369,11,57,5.19484639
florr001,Randy,Flores,6,34,4,29,1,9,4.15429087
floyg001,Gavin,Floyd,126,700,49,250,12,56,6.36959944
franf001,Frank,Francisco,52,189,31,98,2,12,7.46473110
franj003,Jeff,Francis,104,673,29,225,4,32,4.14696759
franr001,Ryan,Franklin,15,122,3,38,1,3,6.60938562
frasj002,Jason,Frasor,79,308,30,130,8,40,6.95012909
frees001,Sam,Freeman,4,35,7,18,2,10,7.85890963
friec001,Christian,Friedrich,20,108,10,44,1,8,5.37392325
friee001,Ernesto,Frieri,107,324,36,115,13,33,11.19825354
fulcj001,Jeff,Fulchino,26,122,12,62,2,17,5.05473296
furbc001,Charlie,Furbush,50,232,27,102,6,37,6.51062449
galaa002,Armando,Galarraga,30,275,13,97,2,19,3.64906447
galls001,Sean,Gallagher,16,101,3,47,6,14,8.09498699
gally001,Yovani,Gallardo,229,981,82,392,9,57,5.94872289
garcc002,Christian,Garcia,5,15,1,9,2,4,10.66236369
garcf002,Freddy,Garcia,94,629,37,213,7,28,6.50465272
garcj002,Santiago,Casilla,68,299,32,145,14,44,8.48109669
garcj004,Jaime,Garcia,146,749,51,269,19,50,8.90848912
garlj001,Jon,Garland,49,404,25,151,5,30,4.99113750
garzm001,Matt,Garza,158,801,63,300,7,44,5.77481766
gaudc001,Chad,Gaudin,50,300,31,145,9,31,7.64519456
gearc001,Cory,Gearrin,18,87,10,54,2,13,5.48191148
gee-d001,Dillon,Gee,99,637,49,251,6,38,5.36552807
germj001,Justin,Germano,25,160,12,65,2,13,5.19457767
godfg001,Graham,Godfrey,10,74,4,29,1,7,4.40846459
gomeb001,Brandon,Gomes,15,89,12,60,3,12,6.89307752
gomej002,Jeanmar,Gomez,36,384,14,146,7,28,5.35955644
gonze001,Edgar,Gonzalez,7,61,2,19,2,8,5.57685505
gonzg003,Gio,Gonzalez,225,966,88,387,16,83,6.67279797
gonzm001,Mike,Gonzalez,43,215,30,125,7,21,8.76708758
gonzm003,Miguel,Gonzalez,52,328,24,115,1,17,4.01814342
gorzt001,Tom,Gorzelanny,117,554,45,179,8,29,8.07599870
grabj002,John,Grabow,24,142,3,49,2,14,3.77266083
grayj002,Jeff,Gray,14,166,8,72,2,21,3.11280341
grees004,Sean,Green,4,29,6,24,1,4,7.26018281
gregk001,Kevin,Gregg,54,300,26,150,1,35,3.29656096
gregl001,Luke,Gregerson,53,305,33,144,5,23,6.73857530
greiz001,Zack,Greinke,202,951,70,333,15,73,6.56800408
grifa002,A.J.,Griffin,52,304,22,108,2,14,5.31436879
grilj001,Jason,Grilli,57,185,25,72,4,8,13.05840353
grimj002,Justin,Grimm,26,159,7,62,4,11,7.66108237
guerj002,Javy,Guerra,25,132,12,66,4,25,5.44232428
guerm001,Matt,Guerrier,32,234,20,120,1,29,3.07488683
guthj001,Jeremy,Guthrie,134,1017,53,364,7,51,4.38678867
gutij002,Juan,Gutierrez,39,194,17,71,3,19,6.09374980
haegc001,Charlie,Haeger,7,49,4,23,3,7,9.19101727
hagan001,Nick,Hagadone,17,84,12,50,2,9,7.08740103
hallr001,Roy,Halladay,182,821,59,310,8,52,5.61918248
hamec001,Cole,Hamels,234,998,76,330,12,57,6.98321142
hammj002,Jason,Hammel,121,754,61,308,15,51,7.49957347
hanrj001,Joel,Hanrahan,63,250,40,113,8,21,11.00564718
hanst001,Tommy,Hanson,158,719,59,259,10,39,7.57368441
happj001,J.A.,Happ,122,636,55,260,11,44,7.14630065
haraa001,Aaron,Harang,135,820,48,292,9,45,5.72702501
hardr001,Rich,Harden,55,236,22,94,8,29,8.01097026
hared001,Dan,Haren,167,943,76,321,9,50,6.26889357
harrl002,Lucas,Harrell,58,489,25,245,5,54,3.16536540
harrm001,Matt,Harrison,84,611,41,232,7,43,5.14187477
harrw002,Will,Harris,22,93,8,52,4,16,6.77501069
harvm001,Matt,Harvey,71,254,19,83,1,11,5.39598895
hatcc002,Chris,Hatcher,5,49,4,27,4,12,7.23657861
hawkb001,Blake,Hawksworth,29,174,9,83,1,18,2.93656691
hawkl001,LaTroy,Hawkins,39,250,14,97,4,19,5.62406558
hefnj001,Jeremy,Hefner,49,288,12,102,3,15,5.25558667
heila001,Aaron,Heilman,24,140,11,61,2,20,4.41239481
hellj001,Jeremy,Hellickson,118,641,40,237,2,30,3.85073413
hendj001,Jim,Henderson,43,121,11,40,3,9,10.00572538
hendl001,Liam,Hendriks,39,217,10,82,2,21,3.75886735
hendm001,Mark,Hendrickson,16,107,10,69,1,20,3.14877078
hensc002,Clay,Hensley,46,246,24,107,4,25,5.88527992
hernd002,David,Hernandez,82,343,47,143,6,31,7.80665141
hernd003,David,Herndon,27,156,11,73,1,18,3.42598564
hernf002,Felix,Hernandez,245,1077,88,395,15,55,7.81137590
hernl003,Livan,Hernandez,77,570,29,229,3,40,3.25301417
hernp001,Pedro,Hernandez,8,87,3,39,1,5,4.38404555
herrd001,Danny,Herrera,6,45,5,28,2,10,5.70562199
herrf001,Frank,Herrmann,24,153,9,72,3,18,4.75297821
herrk001,Kelvin,Herrera,44,182,20,75,2,14,6.38325354
hills003,Shawn,Hill,3,34,1,14,1,2,8.87522832
hochl001,Luke,Hochevar,98,685,46,229,9,41,6.29649973
hoeyj001,Jim,Hoey,3,37,4,29,1,5,4.97896879
hofft001,Trevor,Hoffman,8,58,3,23,1,6,4.70623619
holld003,Derek,Holland,162,877,52,281,9,37,6.71943305
hollg001,Greg,Holland,77,250,37,116,16,37,11.72482376
hoovj002,J.J.,Hoover,29,116,11,50,2,18,5.44407491
horsj001,Jeremy,Horst,14,90,7,51,3,19,4.74370113
howej003,J.P.,Howell,37,166,19,82,7,29,7.40409323
hudst001,Tim,Hudson,136,865,52,326,8,59,4.65222013
huffd001,David,Huff,36,286,17,84,3,11,7.02803075
hughd001,Dusty,Hughes,18,114,6,51,4,19,5.34798199
hughj001,Jared,Hughes,28,163,11,71,2,19,4.22172507
hughp001,Phil,Hughes,144,779,57,274,3,34,4.60522495
humbp001,Philip,Humber,61,436,32,181,5,25,5.72305443
huntt002,Tommy,Hunter,77,553,28,184,5,21,6.03530719
igarr001,Ryota,Igarashi,21,104,24,79,5,31,6.84174792
isrij001,Jason,Isringhausen,18,106,10,54,5,19,6.94148804
iwakh001,Hisashi,Iwakuma,75,381,23,120,6,15,9.24618849
jacke001,Edwin,Jackson,198,1104,53,368,14,56,6.35182115
jacks001,Steven,Jackson,1,16,2,12,1,5,5.18445128
jakuc001,Chris,Jakubauskas,20,113,2,43,4,15,5.54530215
jansc001,Casey,Janssen,56,260,24,106,5,31,6.08531793
jansk001,Kenley,Jansen,109,248,39,86,6,18,12.39010209
jeffj001,Jeremy,Jeffress,21,73,2,29,3,15,5.38528640
jenkb001,Bobby,Jenks,24,99,13,44,3,13,8.03560877
jennd003,Dan,Jennings,12,82,4,39,1,7,4.09080628
jepsk001,Kevin,Jepsen,32,207,21,111,3,27,4.58336699
jimec002,Cesar,Jimenez,3,31,3,17,2,5,8.52729513
jimeu001,Ubaldo,Jimenez,192,986,89,383,18,63,7.93038265
johnj009,Josh,Johnson,114,613,68,256,5,30,6.42507154
johnj010,Jim,Johnson,44,285,28,148,3,37,4.12469521
jonen001,Nate,Jones,47,185,14,106,3,20,5.11469273
jurrj001,Jair,Jurrjens,63,379,24,158,3,25,4.38287469
kazms001,Scott,Kazmir,81,446,25,151,7,21,7.86546273
kellj001,Joe,Kelly,47,326,27,147,6,23,6.74802234
kells001,Shawn,Kelley,38,171,22,85,4,27,6.27115076
kendk001,Kyle,Kendrick,100,824,37,309,8,62,3.92595549
kenni001,Ian,Kennedy,177,967,87,392,15,64,6.97117634
kersc001,Clayton,Kershaw,247,983,93,336,18,54,9.44689220
keucd001,Dallas,Keuchel,45,297,20,138,5,27,5.21948141
kimbc001,Craig,Kimbrel,115,256,37,86,7,14,14.73354177
kinnj001,Josh,Kinney,13,60,9,38,1,7,5.92358356
kintb001,Brandon,Kintzler,21,127,11,63,2,12,5.33292206
kirkm001,Michael,Kirkman,36,158,14,66,4,20,6.59077537
klubc001,Corey,Kluber,54,267,23,98,3,16,6.50063117
kohnm001,Michael,Kohn,21,126,21,82,6,17,9.05365958
kontg001,George,Kontos,25,143,14,65,2,13,5.62821235
kuo-h001,Hong-Chih,Kuo,29,103,19,51,1,7,7.74151200
kuroh001,Hiroki,Kuroda,171,952,67,331,9,42,6.43642476
lackj001,John,Lackey,119,752,36,298,7,54,4.15129401
laffa001,Aaron,Laffey,35,295,13,136,8,32,5.49453432
lannj001,John,Lannan,66,590,29,242,4,45,3.26261043
latom001,Mat,Latos,173,946,76,308,10,52,6.59585124
leagb001,Brandon,League,45,335,16,145,3,30,3.45469942
leakm001,Mike,Leake,118,831,44,279,8,44,5.25259149
leblw001,Wade,LeBlanc,60,447,33,173,2,26,3.96619813
lecus001,Sam,LeCure,59,283,28,125,10,33,8.18061563
ledew001,Wil,Ledezma,10,42,4,23,1,4,6.99908108
lee-c003,Cliff,Lee,235,972,79,327,6,29,7.08968138
lerea001,Anthony,Lerew,5,34,1,11,1,3,6.87172712
leroc001,Chris,Leroux,18,84,14,62,2,19,5.21903991
