PIT_ID,first,last,kOneOB,oneOB,kTwoOB,twoOB,kThreeOB,threeOB,kScore
lestj001,Jon,Lester,213,1050,71,400,13,66,6.03397236
lewic001,Colby,Lewis,133,636,50,212,8,33,7.38803196
lewir002,Rommie,Lewis,9,36,5,20,1,5,7.12063445
lidgb001,Brad,Lidge,24,105,17,57,4,15,8.53560978
lillt001,Ted,Lilly,112,523,33,157,5,19,7.45626430
lincb001,Brad,Lincoln,48,305,18,111,7,30,6.17074184
linct001,Tim,Lincecum,250,1086,95,411,13,70,6.59051067
lindj004,Josh,Lindblom,36,155,14,62,1,18,4.56147786
lindm001,Matt,Lindstrom,56,310,22,146,4,36,4.31446143
lines001,Scott,Linebrink,31,141,14,80,5,22,6.56321899
lirif001,Francisco,Liriano,170,806,76,337,10,64,5.97410067
litsj001,Jesse,Litsch,20,140,10,71,1,8,4.21056659
lockj001,Jeff,Locke,49,275,20,118,2,21,4.26094420
loe-k001,Kameron,Loe,45,282,29,143,2,36,3.91075878
logab001,Boone,Logan,45,230,35,129,11,36,8.65610886
lohsk001,Kyle,Lohse,103,851,54,318,15,55,6.65132159
lopej002,Javier,Lopez,39,239,30,139,7,35,6.27151517
loper001,Rodrigo,Lopez,56,409,17,147,4,27,4.25962195
lopew001,Wilton,Lopez,52,359,18,151,6,29,5.23696729
loupa001,Aaron,Loup,23,120,2,44,1,8,3.45697721
lowed001,Derek,Lowe,82,723,45,320,10,59,4.72261350
lowem002,Mark,Lowe,28,172,14,63,1,11,4.67591577
luebc001,Cory,Luebke,52,218,19,70,5,11,11.16542197
luekj001,Josh,Lueke,16,79,11,50,4,16,7.29664165
luetl001,Lucas,Luetge,19,104,13,70,1,15,4.02492060
lylej001,Jordan,Lyles,54,496,27,196,8,58,4.18568888
lynnl001,Lance,Lynn,131,541,48,236,14,45,8.26927565
lyonb003,Brandon,Lyon,43,230,18,117,6,30,5.73778558
macdm001,Mike,MacDougal,16,109,13,81,5,30,5.07828809
machj002,Jean,Machi,10,64,9,38,1,5,6.45875954
madsr001,Ryan,Madson,51,165,18,59,4,16,8.80221590
mahop002,Paul,Maholm,121,894,54,350,10,57,5.08172375
mainj001,John,Maine,10,75,11,35,2,9,7.50192928
mains001,Scott,Maine,13,62,11,40,3,14,7.38293239
malom001,Matt,Maloney,7,75,6,33,1,6,5.01052495
marcs001,Shaun,Marcum,120,702,48,255,7,43,5.45130687
marmc001,Carlos,Marmol,126,373,60,175,18,52,10.83236520
maron001,Nick,Maronde,1,14,4,12,1,3,9.05570474
marqj001,Jason,Marquis,69,549,28,248,9,56,4.35922935
marss002,Sean,Marshall,70,274,30,117,9,28,9.06998983
martc005,Cristhian,Martinez,33,198,20,106,6,28,6.21693324
martj004,Joe,Martinez,2,40,2,16,1,4,5.42930598
martv002,Victor,Marte,16,96,12,68,2,17,4.61339630
massn001,Nick,Masset,35,170,21,107,4,25,5.68901536
mastj001,Justin,Masterson,196,1032,74,423,16,89,5.67268848
matsd001,Daisuke,Matsuzaka,56,338,22,148,10,40,6.32563185
mattr001,Ryan,Mattheus,20,173,10,90,3,31,3.30983112
mazzv001,Vin,Mazzaro,40,348,26,175,3,34,3.57840843
mcalz001,Zach,McAllister,61,361,25,138,3,16,5.74086766
mccab001,Brandon,McCarthy,66,516,17,159,1,19,2.66052654
mcclk001,Kyle,McClellan,44,318,24,116,2,13,5.33459560
mcclm001,Mike,McClendon,7,62,2,40,1,8,3.06846886
mccud001,Daniel,McCutchen,30,218,9,94,3,20,4.07793243
mcdoj004,James,McDonald,90,577,50,219,7,36,6.28097146
mcgej001,Jake,McGee,52,192,25,101,12,31,10.06036042
mcgod001,Dustin,McGowan,12,67,3,20,2,7,6.95883187
mchuc001,Collin,McHugh,11,79,1,19,1,5,4.38568402
mcphk001,Kyle,McPherson,6,28,2,13,2,2,18.07845852
mechg001,Gil,Meche,15,96,9,35,2,7,7.98276933
meeke001,Evan,Meek,30,149,12,66,1,11,4.45598691
melam001,Mark,Melancon,58,250,20,110,2,17,5.03359697
mendl001,Luis,Mendoza,42,345,15,135,2,26,3.04142514
mijaj001,Jose,Mijares,48,265,34,162,9,37,6.96613669
milew001,Wade,Miley,83,537,34,199,4,26,5.03739721
milla002,Andrew,Miller,45,232,36,137,9,41,7.24399987
millj005,Jim,Miller,11,68,13,42,3,11,8.37814842
millk004,Kevin,Millwood,72,510,30,216,4,31,4.24165921
mills001,Shelby,Miller,59,236,16,72,1,9,5.46794411
millt002,Trever,Miller,11,78,4,41,3,9,6.90967687
milot001,Tom,Milone,69,443,27,175,6,28,5.78692756
minom001,Mike,Minor,117,611,37,197,7,35,6.12784238
miscp001,Pat,Misch,7,47,2,29,2,10,4.61496401
moehb001,Brian,Moehler,10,80,3,35,1,5,4.66195997
monac001,Carlos,Monasterios,12,114,7,50,1,7,4.26482435
moorm003,Matt,Moore,96,446,36,162,7,24,8.02595048
moraf001,Franklin,Morales,48,236,14,79,2,22,4.41791449
morrb001,Brandon,Morrow,147,609,69,239,12,51,8.02622866
morrb002,Bryan,Morris,17,91,6,44,3,8,8.21553566
mortc002,Charlie,Morton,87,606,28,255,8,56,4.15315037
mortc003,Clayton,Mortensen,24,185,11,63,4,17,6.18073636
moscg001,Guillermo,Moscoso,38,269,18,89,1,14,4.04502618
motag001,Guillermo,Mota,36,202,16,85,3,23,4.99873590
mottj001,Jason,Motte,61,228,30,111,10,30,9.46726006
moyej001,Jamie,Moyer,14,190,10,75,2,11,4.61149222
moylp001,Peter,Moylan,25,126,11,73,3,22,4.79786668
mujie001,Edward,Mujica,51,286,29,104,4,20,7.03248319
myerb001,Brett,Myers,116,660,42,244,7,41,5.42606900
narvc001,Chris,Narveson,83,441,25,146,4,28,5.06085324
nathj001,Joe,Nathan,53,188,18,75,2,11,6.91340847
neshp001,Pat,Neshek,19,124,14,62,2,13,5.62022488
ni--f001,Fu-Te,Ni,8,38,3,23,3,9,7.64867946
nicaj001,Juan,Nicasio,58,382,20,128,4,21,5.42347401
niemj001,Jeff,Niemann,73,443,20,122,4,21,5.57793516
niesj001,Jonathon,Niese,159,862,68,355,17,62,7.25929408
nievf001,Fernando,Nieve,7,47,2,23,3,10,6.33182393
nippd001,Dustin,Nippert,13,96,8,33,4,10,9.45027366
noesh001,Hector,Noesi,33,237,21,111,4,22,5.57544713
nolar001,Ricky,Nolasco,150,943,57,349,9,62,4.84919789
norbj001,Jordan,Norberto,15,88,11,60,7,15,10.02586084
norrb001,Bud,Norris,188,913,86,348,26,75,9.07962288
novai001,Ivan,Nova,129,678,43,243,12,45,7.02011498
odayd001,Darren,O'Day,63,247,22,99,3,22,5.88079518
oflae001,Eric,O'Flaherty,48,242,25,117,10,25,9.49089580
ogana001,Alexi,Ogando,74,419,38,203,7,35,6.03851589
ohler001,Ross,Ohlendorf,55,349,29,142,2,27,4.19724850
ohmaw001,Will,Ohman,33,158,17,80,9,26,8.71624077
okajh001,Hideki,Okajima,10,73,11,47,1,19,4.07639910
olivd001,Darren,Oliver,61,300,30,111,5,32,6.41266290
olses001,Scott,Olsen,16,103,6,43,1,9,4.05418997
olsog003,Garrett,Olson,16,71,3,27,1,8,4.34924093
omogb001,Brian,Omogrosso,6,53,7,26,1,5,6.56765869
ondrl001,Logan,Ondrusek,44,274,22,161,5,32,4.74002094
ortir002,Ramon,Ortiz,13,138,5,40,2,17,3.65819063
osuls001,Sean,O'Sullivan,20,242,11,103,3,21,3.78258811
oswar001,Roy,Oswalt,109,616,46,186,1,17,4.53515423
oterd001,Dan,Otero,10,76,5,46,1,6,4.43746340
ottaa001,Adam,Ottavino,53,248,14,97,10,29,7.99073260
outmj001,Josh,Outman,32,213,23,97,7,15,10.49125015
owinm001,Micah,Owings,27,162,7,57,4,16,6.05353911
padiv001,Vicente,Padilla,44,179,19,81,5,19,7.89389540
palmm001,Matt,Palmer,7,70,2,34,1,8,3.09159882
papej001,Jonathan,Papelbon,84,299,37,111,14,27,13.04050235
parkb001,Blake,Parker,12,73,7,29,2,3,13.66286385
parkc002,"Chan Ho",Park,10,82,3,30,1,4,5.56028457
parkj001,Jarrod,Parker,75,498,26,162,3,17,5.24883612
parnb001,Bobby,Parnell,63,271,38,142,4,19,7.37279770
parrm001,Manny,Parra,63,308,40,151,7,32,7.31397750
patej001,Joe,Paterson,11,58,4,36,2,16,4.15103471
pattt001,Troy,Patton,27,170,13,69,1,17,3.80180051
pauld001,David,Pauley,25,225,14,99,4,19,5.34350280
paulf001,Felipe,Paulino,76,353,30,158,5,22,6.69765324
pavac001,Carl,Pavano,75,669,22,214,4,21,4.62882930
peacb001,Brad,Peacock,27,114,6,38,3,11,7.16634461
peavj001,Jake,Peavy,105,632,40,229,6,48,4.70318476
pelfm001,Mike,Pelfrey,82,786,32,292,10,48,4.93057657
penat003,Tony,Pena,25,179,9,92,4,20,4.87348039
pennb002,Brad,Penny,25,347,13,161,3,22,3.34498906
peraj002,Joel,Peralta,60,270,38,120,5,18,8.86750974
peraw001,Wily,Peralta,44,268,14,109,3,26,4.04921397
perec002,Chris,Perez,56,290,20,127,9,25,8.24873692
perej001,Juan,Perez,10,53,5,22,4,7,12.19518127
perel001,Luis,Perez,31,162,22,79,3,14,7.31860452
perem004,Martin,Perez,30,209,12,80,2,10,5.45540826
pereo002,Oliver,Perez,34,180,19,98,5,21,6.75892294
perer002,Rafael,Perez,26,193,14,89,3,14,5.70251007
perkg001,Glen,Perkins,62,261,30,100,4,23,7.19108635
perrr001,Ryan,Perry,32,174,11,65,3,17,5.52760940
pestv001,Vinnie,Pestano,57,210,31,91,11,32,10.40359857
petiy001,Yusmeiro,Petit,13,54,3,20,1,3,8.02659688
petta001,Andy,Pettitte,87,499,28,187,10,37,6.69424609
pheld001,David,Phelps,58,227,21,100,1,16,4.62659212
pinej001,Joel,Pineiro,46,375,15,128,2,19,3.54363662
pinem001,Michael,Pineda,36,192,16,56,3,4,15.53710537
pomed001,Drew,Pomeranz,36,202,12,75,2,13,5.05215611
porcr001,Rick,Porcello,123,904,42,334,4,66,3.02956573
pricd001,David,Price,241,1004,67,311,8,51,6.03680751
procs001,Scott,Proctor,10,75,7,41,3,7,9.10396542
pryos001,Stephen,Pryor,13,37,4,19,1,9,5.90506717
purcd001,David,Purcey,25,123,14,66,2,11,6.17718530
putzj001,J.J.,Putz,73,246,26,80,4,15,9.20153059
qualc001,Chad,Qualls,48,330,23,165,3,21,4.48147607
quinj001,Jose,Quintana,75,381,11,122,8,32,5.87050950
raleb001,Brooks,Raley,8,54,7,25,1,6,6.36946714
ramie004,Erasmo,Ramirez,29,151,7,55,1,12,3.70310261
ramie005,Elvin,Ramirez,12,39,1,16,2,7,6.73296243
ramir003,Ramon,Ramirez,54,249,26,141,3,22,5.26244402
ramoa001,A.J.,Ramos,34,122,5,40,4,10,8.98451643
ramoc001,Cesar,Ramos,33,194,18,97,5,24,6.11189353
raucj001,Jon,Rauch,52,244,19,81,4,18,7.08865323
ray-c001,Chris,Ray,13,104,3,63,2,16,3.11006170
reeda001,Addison,Reed,46,182,16,61,1,13,5.39273189
resoc001,Chris,Resop,41,236,42,161,6,38,6.17236985
reyed001,Dennys,Reyes,12,55,1,28,2,9,4.98087370
reyej003,Jo-Jo,Reyes,30,222,11,92,3,8,7.74816064
reynm002,Matt,Reynolds,43,193,17,87,4,20,6.38315426
rhoda001,Arthur,Rhodes,23,104,14,58,4,15,7.88361501
richc002,Clayton,Richard,82,704,33,267,2,32,2.92655313
richg002,Garrett,Richards,49,307,17,127,3,16,5.18079527
rivem002,Mariano,Rivera,48,200,11,81,6,21,7.14445484
robed002,David,Robertson,81,306,58,178,20,39,12.78310886
robet001,Tyler,Robertson,8,28,5,22,2,7,8.38077679
rodnf001,Fernando,Rodney,89,372,30,137,8,27,8.19490578
rodrf003,Francisco,Rodriguez,75,328,44,152,3,25,6.20723607
rodrf004,Fernando,Rodriguez,41,168,16,86,9,27,8.43213880
rodrh002,Henry,Rodriguez,51,213,12,89,2,22,4.16281373
rodrp001,Paco,Rodriguez,17,66,11,42,4,13,8.93138658
rodrw002,Wandy,Rodriguez,154,826,50,295,12,46,6.83038893
roenj001,Josh,Roenicke,37,253,22,132,2,26,3.77422351
rogee002,Esmil,Rogers,84,513,47,255,11,45,6.61331055
rogem001,Mark,Rogers,10,47,4,19,5,8,12.96526939
romej001,J.C.,Romero,11,102,11,54,1,13,3.95881790
romer002,Ricky,Romero,145,804,57,300,8,69,4.80870613
romos001,Sergio,Romo,79,263,38,112,9,35,9.23003717
roseb003,B.J.,Rosenberg,12,59,7,24,1,5,7.30938027
roset001,Trevor,Rosenthal,33,119,19,57,7,14,12.73822058
rossr002,Robbie,Ross,36,179,15,86,8,21,8.79440404
rosst001,Tyson,Ross,72,401,17,120,7,20,7.85126983
rowlr002,Ryan,Rowland-Smith,13,169,8,57,1,10,3.45825741
ruffc001,Chance,Ruffin,17,41,2,17,2,6,8.64462752
runzd001,Dan,Runzler,23,85,7,42,5,12,9.64102323
rusic001,Chris,Rusin,14,109,4,56,1,8,3.38490563
russa001,Adam,Russell,9,61,4,41,2,12,4.40649303
russj003,James,Russell,63,318,18,144,9,44,5.55914749
rzepm001,Marc,Rzepczynski,53,269,29,127,3,27,5.23958888
sabac001,CC,Sabathia,225,1123,88,432,17,86,6.31228075
saitt001,Takashi,Saito,28,121,12,46,1,9,5.77981214
salaf001,Fernando,Salas,65,256,17,102,8,32,7.00903692
salec001,Chris,Sale,140,568,63,201,5,30,7.27455234
samaj001,Jeff,Samardzija,116,589,63,253,11,45,7.49259130
sanaa001,Alex,Sanabia,21,172,17,77,3,11,7.20465463
sanca004,Anibal,Sanchez,202,1013,84,353,10,40,7.47221053
sancb001,Brian,Sanches,32,162,17,73,3,19,6.00385493
sance001,Eduardo,Sanchez,13,64,5,23,2,10,6.51010786
sancj002,Jonathan,Sanchez,111,517,42,203,13,52,7.22346120
sania001,Amauri,Sanit,1,11,1,8,1,5,4.89464449
sante001,Ervin,Santana,156,959,67,370,16,58,7.05131308
santh001,Hector,Santiago,50,269,31,128,4,27,5.89063623
santj003,Johan,Santana,69,389,20,129,3,21,4.82677270
sants001,Sergio,Santos,37,167,25,85,6,19,9.20076564
saunj001,Joe,Saunders,142,974,49,379,7,57,4.06930122
savej001,Joe,Savery,11,72,2,16,1,3,7.26965663
schem001,Max,Scherzer,268,1013,69,308,16,41,9.82107838
schet001,Tanner,Scheppers,23,129,13,61,1,10,4.80268657
schld001,Daniel,Schlereth,27,109,9,51,6,17,8.64834613
schwm002,Michael,Schwimer,11,60,4,31,5,11,9.32943384
shawb001,Bryan,Shaw,49,228,25,108,5,20,7.48870895
sheeb001,Ben,Sheets,32,236,9,57,1,5,5.49607874
sherg001,George,Sherrill,16,102,11,67,4,19,5.84205904
shiej002,James,Shields,229,1072,94,379,17,66,7.77461016
shies002,Scot,Shields,11,65,5,37,2,5,8.48561832
simoa001,Alfredo,Simon,67,416,34,181,7,36,5.87452732
sippt001,Tony,Sipp,59,276,32,119,4,23,6.72508165
skagt001,Tyler,Skaggs,14,84,4,32,1,11,3.65315961
slama001,Anthony,Slama,6,17,1,2,1,1,22.56642536
slatd001,Doug,Slaten,12,89,12,60,6,16,8.61043564
slowk001,Kevin,Slowey,66,416,18,123,1,11,3.83790028
smitg002,Greg,Smith,10,54,3,23,2,6,7.50797357
smitj002,Joe,Smith,57,291,30,152,7,36,6.17014569
smitj003,Jordan,Smith,11,87,7,49,1,5,5.28371700
smyld001,Drew,Smyly,51,236,12,50,2,11,6.54798260
sneli001,Ian,Snell,14,69,2,35,1,9,3.43327434
sonna001,Andy,Sonnanstine,10,129,8,70,4,22,4.42819377
sorij001,Joakim,Soria,53,195,23,86,5,27,7.20327438
sorir001,Rafael,Soriano,50,285,25,108,3,19,5.86620189
sosaj002,Jorge,Sosa,2,49,3,23,3,11,5.78296602
spenj001,Josh,Spence,11,46,8,23,2,7,9.41700164
stamc001,Craig,Stammen,60,401,35,169,11,43,6.95291222
staut001,Tim,Stauffer,71,390,22,147,4,28,4.79494611
stewz001,Zach,Stewart,17,139,4,49,2,7,5.90909551
stokb001,Brian,Stokes,4,29,4,18,2,9,6.53859117
stord001,Drew,Storen,51,277,29,130,6,18,8.49711637
storm001,Mickey,Storey,8,38,7,22,2,6,9.66529638
strad003,Dan,Straily,52,234,17,83,2,11,6.20408563
stras001,Stephen,Strasburg,118,464,35,168,11,31,9.05616749
streh001,Huston,Street,40,196,24,72,2,8,8.52257695
strop001,Pedro,Strop,45,226,22,98,8,34,7.10183540
stule002,Eric,Stults,57,404,18,132,3,22,4.32575211
stutm001,Michael,Stutes,21,118,4,37,1,2,9.76743600
suppj001,Jeff,Suppan,12,180,2,79,1,14,1.73038944
swara001,Anthony,Swarzak,45,384,24,147,1,21,3.12986689
takah001,Hisanori,Takahashi,58,285,35,134,7,37,6.81801463
talbm001,Mitch,Talbot,19,273,13,125,3,39,2.67552644
tallb001,Brian,Tallet,17,127,9,63,2,20,3.80130854
tatey001,Yoshinori,Tateyama,12,77,6,36,1,9,4.34841660
tazaj001,Junichi,Tazawa,33,138,19,80,2,10,6.92601727
teafe001,Everett,Teaford,23,134,7,46,1,13,3.75956945
tehej001,Julio,Teheran,48,248,23,100,2,12,6.08449372
tejer001,Rob,Tejeda,14,86,12,52,1,7,5.55920921
texek001,Kanekoa,Texeira,14,122,6,66,2,10,4.66086801
thatj001,Joe,Thatcher,32,138,24,84,7,28,8.16546631
thayd001,Dale,Thayer,34,183,13,69,8,29,7.25837811
thomb001,Brad,Thomas,20,123,6,73,3,16,4.64245418
thomj006,Justin,Thomas,2,29,3,20,1,9,3.68700652
thomr006,Rich,Thompson,21,97,10,48,2,10,6.48705062
thorm001,Matt,Thornton,65,302,20,133,3,23,4.79760230
thort001,Tyler,Thornburg,16,110,9,39,2,5,9.38082059
tillc001,Chris,Tillman,88,490,42,169,5,25,6.71380591
toddj001,Jess,Todd,6,15,1,4,1,2,12.52435322
tolls002,Shawn,Tolleson,6,40,6,30,4,9,9.75272522
torra002,Alexander,Torres,22,84,6,32,4,11,9.00860402
torrc001,Carlos,Torres,41,201,13,84,1,15,3.81065662
tronr001,Ramon,Troncoso,14,136,9,88,4,18,5.05591685
uehak001,Koji,Uehara,60,200,25,65,3,13,9.31298540
valdc003,Cesar,Valdez,1,26,4,18,1,9,4.29338297
valdj001,Jose,Valdez,8,40,4,22,2,5,9.15789264
valdl001,Luis,Valdez,9,66,6,41,1,14,3.41732621
valdr002,Raul,Valdes,36,173,21,74,8,31,8.13550077
valvj001,Jose,Valverde,67,294,22,129,3,28,4.72962683
vargc001,Claudio,Vargas,3,28,3,22,2,4,9.67768854
vargj001,Jason,Vargas,179,1009,44,290,5,42,4.42854564
varva001,Anthony,Varvaro,28,147,11,65,6,16,8.58890481
vasqe001,Esmerling,Vasquez,26,148,12,86,4,26,4.81822225
vazqj001,Javier,Vazquez,73,386,22,151,6,34,5.30374697
veald001,Donald,Veal,13,55,11,35,1,6,7.22754867
ventj001,Jonny,Venters,76,311,49,152,16,42,10.62372938
veraj001,Jose,Veras,77,327,44,159,10,39,8.18656090
verlj001,Justin,Verlander,272,1120,109,378,17,59,8.83584978
villb002,Brayan,Villarreal,26,106,6,44,1,15,3.84237154
villc001,Carlos,Villanueva,86,490,41,205,8,27,7.63716092
vincn001,Nick,Vincent,26,85,7,33,4,13,8.66487554
voger001,Ryan,Vogelsong,87,582,42,238,11,56,5.71832080
volqe001,Edinson,Volquez,161,750,53,296,9,57,5.52088435
volsc001,Chris,Volstad,82,611,36,239,4,36,4.05599492
wadec001,Cory,Wade,20,99,10,38,1,8,5.85284674
wagnb001,Billy,Wagner,35,83,7,19,4,6,16.45610524
wagnn001,Neil,Wagner,4,58,6,27,1,6,5.30920877
waina001,Adam,Wainwright,184,853,61,267,10,41,7.36782406
waket001,Tim,Wakefield,54,414,12,124,2,20,3.28731639
waldj001,Jordan,Walden,72,227,31,90,1,8,7.36538168
waldk001,Kyle,Waldrop,2,40,1,23,1,6,3.28398963
waltp001,P.J.,Walters,23,173,6,66,4,22,4.48486788
wangc001,Chien-Ming,Wang,15,173,5,77,2,8,4.98794475
warra001,Adam,Warren,15,102,10,48,2,4,10.67235727
watst001,Tony,Watson,40,208,24,96,5,18,7.98533428
weavj003,Jered,Weaver,176,835,64,265,7,40,6.43075553
webbr001,Ryan,Webb,63,346,28,176,6,52,4.47783503
webet001,Thad,Weber,3,28,2,12,1,4,6.19413746
wellk001,Kip,Wells,3,55,1,15,1,4,4.82797806
wellr001,Randy,Wells,65,469,30,195,8,37,5.71632002
wellt002,Todd,Wellemeyer,15,74,4,29,2,8,6.41607731
westj001,Jake,Westbrook,87,847,46,374,12,77,4.26589379
wheed001,Dan,Wheeler,22,125,8,54,3,9,7.64723482
whita001,Alex,White,27,216,14,95,2,15,4.30845155
wilht001,Tom,Wilhelmsen,48,202,24,106,4,17,7.33633384
willd003,Dontrelle,Willis,26,181,17,117,3,26,4.11628925
willj003,Jerome,Williams,67,443,21,152,4,31,4.28969348
willr003,Randy,Williams,7,53,7,44,1,8,4.34668276
wilsb001,Brian,Wilson,54,190,28,105,8,28,8.79556297
wilsc004,C.J.,Wilson,233,1135,75,397,22,83,7.20752914
wilsj004,Justin,Wilson,14,94,12,46,2,8,7.43804000
wolfr001,Randy,Wolf,116,801,42,316,11,50,5.58367813
wolfr002,Ross,Wolf,10,75,5,57,2,10,4.72976667
woodb004,Blake,Wood,36,168,10,86,5,23,5.75099357
woodk002,Kerry,Wood,33,148,16,70,6,23,7.66781887
woodt003,Tim,Wood,5,52,2,34,2,7,5.51891181
woodt004,Travis,Wood,93,669,37,224,10,39,6.45278187
worlv001,Vance,Worley,85,479,32,188,6,24,6.62262177
wrigj001,Jamey,Wright,53,340,18,167,9,60,4.30868380
wrigw001,Wesley,Wright,53,206,17,87,3,17,6.21612568
wuerm001,Michael,Wuertz,22,100,4,41,6,17,7.64692794
younc003,Chris,Young,40,203,15,64,1,9,5.30444399
zagum001,Mike,Zagurski,21,79,11,50,4,19,7.04663646
zambc001,Carlos,Zambrano,88,541,31,268,12,63,5.04774547
ziegb001,Brad,Ziegler,49,314,24,181,4,52,3.46272008
zimmj003,Jordan,Zimmermann,112,737,43,217,8,30,7.03519925
zitob001,Barry,Zito,99,755,46,298,7,51,4.47733813
