playerID,retroID,kscore,totalgames,totalhits,totalwins,totalER,totalinnings,totalERA,Strikeouts
aardsda01,aardd001,7.4732759700,97,73,2,39,89,3.9438,86
abadfe01,abadf001,7.0531695400,127,141,1,62,120,4.6500,97
accarje01,accaj001,4.9489134900,63,97,3,50,80,5.6250,55
aceveal01,aceva001,4.2102227400,145,216,19,107,245,3.9306,181
acostma01,acosm001,6.3509407900,130,128,8,65,132,4.4318,134
adamsmi03,adamm001,7.6951500400,234,171,15,55,214,2.3131,215
affelje01,affej001,5.4398182900,226,187,9,74,207,3.2174,176
alberma01,albem001,4.7516042300,237,243,15,110,262,3.7786,196
albural01,albua001,9.6031777600,102,66,10,35,105,3.0000,155
allenco01,allec002,8.7959198900,104,91,6,31,99,2.8182,115
alvarhe01,alvah001,2.1325679500,58,370,15,167,352,4.2699,176
ambrihe01,ambrh001,6.6605479000,95,132,3,62,103,5.4175,86
anderbr04,andeb004,5.0044166700,54,278,15,112,274,3.6788,207
arredjo01,arrej001,7.2232546700,119,93,10,39,113,3.1062,110
arrieja01,arrij001,4.9871662700,78,402,24,238,407,5.2629,314
arroybr01,arrob001,3.4532756000,129,823,52,374,816,4.1250,482
atchisc01,atchs001,4.9794171600,152,176,8,72,186,3.4839,122
avilalu01,avill001,3.4301655700,106,67,6,19,101,1.6931,71
axforjo01,axfoj001,9.0573682200,274,235,22,97,264,3.3068,320
ayalalu01,ayall001,6.4247603500,157,170,9,47,162,2.6111,112
badenbu01,badeb001,4.6360622600,232,252,9,104,254,3.6850,182
bailean01,baila001,5.3848202000,138,112,5,47,132,3.2045,136
baileho02,bailh001,9.0205577500,106,632,37,285,655,3.9160,573
bakersc02,bakes002,8.4012325900,55,321,20,138,319,3.8934,277
balesco01,balec001,7.0270183500,51,67,3,37,74,4.5000,74
balfogr01,balfg001,8.6713680300,259,176,11,70,252,2.5000,259
bardda01,bardd001,7.9039562200,162,152,8,85,206,3.7136,189
bassan01,bassa001,4.4416965500,75,181,4,85,186,4.1129,135
bastaan01,basta001,10.5135990400,202,120,13,62,168,3.3214,224
batismi01,batim001,4.7947499100,128,178,7,85,193,3.9637,122
beatope01,beatp001,4.6355059500,81,82,4,45,87,4.6552,56
beavabl01,beavb001,8.5104546800,53,320,16,148,287,4.6411,136
beckejo02,beckj002,7.0547166300,87,521,26,257,533,4.3396,464
bedarer01,bedae001,6.5698765500,80,396,16,199,403,4.4442,381
beimejo01,beimj001,5.1288740100,106,80,2,32,69,4.1739,38
belisma01,belim001,6.8349609200,302,328,25,124,316,3.5316,280
belisro01,belir001,5.6365077800,204,171,16,81,193,3.7772,156
bellhe01,bellh001,7.0612051200,273,251,18,98,259,3.4054,268
benoijo01,benoj001,9.1168113000,268,183,14,73,258,2.5465,295
berkeja01,berkj001,5.9387322500,86,156,4,61,128,4.2891,97
betanra01,betar001,9.8097049600,232,177,10,76,209,3.2727,246
billich01,billc001,8.0160220400,90,525,34,227,540,3.7833,457
blackni01,blacn001,2.2079008400,73,520,21,252,407,5.5725,186
blantjo01,blanj001,6.4172004400,99,645,22,306,538,5.1190,443
blevije01,blevj001,6.1623221300,219,170,12,68,200,3.0600,178
boggsmi01,boggm001,6.3153048000,217,206,8,90,222,3.6486,174
bowdemi01,bowdm001,4.8895674600,94,103,1,48,110,3.9273,85
brachbr01,bracb001,8.3767529000,109,95,3,43,104,3.7212,117
braddza01,bradz001,8.1046471000,71,45,1,25,50,4.5000,59
braybi01,brayb001,5.3315623600,128,62,5,34,84,3.6429,81
breslcr01,bresc001,6.3303102000,266,223,12,81,254,2.8701,209
brothre01,brotr001,10.3745662200,195,147,11,55,174,2.8448,218
broxtjo01,broxj001,5.3318375500,172,162,12,66,161,3.6894,153
buchhcl01,buchc001,5.0497696900,87,480,46,194,552,3.1630,405
buehrma01,buehm001,3.8202697400,128,887,51,360,820,3.9512,472
bumgama01,bumgm001,5.9535125900,114,650,49,250,724,3.1077,667
burneaj01,burna001,7.2944536400,127,748,47,367,768,4.3008,707
burneal01,burna002,4.6295907900,177,178,8,90,169,4.7929,108
burnese01,burns001,5.6518703800,225,173,7,55,184,2.6902,159
burtoja01,burtj001,5.2566991700,145,108,5,45,130,3.1154,120
byrdati01,byrdt001,7.7602599900,200,97,6,50,109,4.1284,113
cahiltr01,cahit001,5.6620001500,122,696,51,310,749,3.7250,523
cainma01,cainm001,6.2300780700,128,693,49,299,847,3.1771,707
campsh01,camps002,4.9118665800,243,263,14,104,238,3.9328,145
cappsca01,cappc001,8.6427969900,71,98,3,47,83,5.0964,94
cappsma01,cappm001,5.7507562200,173,169,10,63,166,3.4157,111
capuach01,capuc001,6.6318338000,114,576,31,255,554,4.1426,465
carmofa01,carmf001,4.0319721800,100,589,26,292,562,4.6762,348
carpech01,carpc002,5.4142146900,72,473,27,182,487,3.3634,382
carpeda01,carpd001,6.2676711600,123,124,5,51,123,3.7317,134
carradj01,carrd001,4.6156170700,109,141,4,68,129,4.7442,95
cashnan01,casha001,6.3598891000,124,251,15,113,284,3.5810,238
cecilbr01,cecib001,5.8090974500,129,411,26,204,416,4.4135,325
cedenxa01,cedex001,4.9265001200,63,52,0,27,44,5.5227,45
chacijh01,chacj001,6.2627410200,104,550,37,238,596,3.5940,459
chambjo03,chamj002,7.4046477100,167,167,8,77,160,4.3313,161
chapmar01,chapa001,9.8895932600,205,105,15,53,197,2.4213,324
chatwty01,chatt001,3.0825325300,66,358,19,153,317,4.3438,181
chaveje01,chavj001,6.8251146000,103,165,8,102,150,6.1200,138
chenbr01,chenb001,5.7303909500,126,610,44,282,607,4.1812,413
chenwe02,chenw001,5.2842889000,55,328,19,148,329,4.0486,258
choatra01,choar001,6.2336647700,283,109,7,48,141,3.0638,137
cishest01,cishs001,8.3710923500,185,153,11,53,186,2.5645,200
clippty01,clipt001,8.6870140300,296,209,22,98,320,2.7563,373
cobbal01,cobba001,6.1853663100,54,299,25,125,331,3.3988,277
coffeto01,cofft001,5.7780668100,161,137,8,67,140,4.3071,120
cokeph01,cokep001,3.8040113700,237,299,12,128,264,4.3636,203
colemlo01,colel001,13.4390372500,117,104,4,42,138,2.7391,161
colliti01,collt001,8.2122459400,206,156,12,74,188,3.5426,205
collmjo01,collj001,7.0557371600,108,308,20,127,336,3.4018,265
colonba01,colob001,4.2813254500,83,526,36,187,506,3.3261,343
contrjo01,contj002,8.4721062700,108,84,7,40,87,4.1379,90
cookaa01,cooka002,3.6213780700,59,391,13,196,317,5.5647,130
cookry01,cookr001,8.2360768800,154,115,12,42,147,2.5714,154
corbipa01,corbp001,4.2357174100,54,306,20,133,315,3.8000,264
cordefr01,cordf002,4.7476908500,190,178,14,83,180,4.1500,132
cormila01,corml001,2.1511466500,69,90,4,42,74,5.1081,37
corpama01,corpm001,3.8029982300,135,156,4,79,149,4.7718,105
correke01,corrk001,3.8209804200,118,721,43,335,654,4.6101,382
cottsne01,cottn001,10.1648581900,58,36,8,7,56,1.1250,65
crainje01,craij001,10.7496343600,227,163,13,58,216,2.4167,238
crowaa01,crowa001,7.8163937400,187,158,14,62,172,3.2442,174
cruzju02,cruzj005,7.0075442100,104,84,6,34,88,3.4773,86
cruzrh01,cruzr001,3.4657413800,72,90,1,45,76,5.3289,56
cuetojo01,cuetj001,5.4886576300,99,555,45,201,616,2.9367,463
danksjo01,dankj001,5.5104696800,90,579,30,277,573,4.3508,416
darviyu01,darvy001,8.4086636000,61,301,29,149,400,3.3525,498
daviswa01,daviw001,5.9437804400,143,572,34,266,557,4.2980,419
defraju01,defrj001,7.1971307100,76,53,4,25,60,3.7500,53
delabst01,delas001,10.4065406300,122,101,10,51,130,3.5308,181
delarda01,delad001,8.8236103300,87,73,6,38,83,4.1205,78
delarjo01,delaj001,5.4316372400,63,340,29,156,356,3.9438,283
delcama01,delcm001,6.6837729100,57,45,3,29,52,5.0192,38
delroen01,delre001,3.5454821400,84,110,1,51,81,5.6667,46
dempsry01,dempr002,7.4968410700,128,734,45,352,760,4.1684,709
desseel01,desse001,2.7005578300,53,41,4,12,46,2.3478,16
detwiro01,detwr001,5.8012264000,69,338,17,130,330,3.5455,202
diamosc01,diams001,2.5058362300,58,398,19,169,340,4.4735,161
dickera01,dickr001,5.1319716100,128,766,53,307,840,3.2893,645
diekmja01,diekj001,9.7377684400,77,59,2,23,65,3.1846,76
dillati01,dillt001,5.2065418000,58,71,1,31,64,4.3594,56
doolise01,dools001,8.2902153900,114,93,7,40,116,3.1034,120
doteloc01,doteo001,8.5079536500,196,148,13,80,176,4.0909,203
doubrfe01,doubf001,6.2701791300,81,362,24,184,357,4.6387,335
downssc01,downs001,7.3357643400,252,174,16,54,201,2.4179,152
duensbr01,duenb001,4.9491143600,213,509,29,221,460,4.3239,318
dukeza01,dukez001,2.5823098800,84,363,13,166,277,5.3935,156
dunnmi01,dunnm002,7.2898733400,232,168,10,72,191,3.3927,214
durbich01,durbc001,7.8394577600,212,226,11,108,212,4.5849,187
edginjo01,edgij001,7.1352577100,68,45,2,25,53,4.2453,50
elbersc01,elbes001,6.4987289100,91,55,1,18,65,2.4923,63
eppleco01,epplc001,5.5397726300,71,61,2,29,55,4.7455,39
escaled01,escae001,6.2571019900,78,96,1,50,99,4.5455,71
estrama01,estrm001,9.2394216300,100,335,16,165,368,4.0353,362
farnsky01,farnk001,4.5413328700,205,165,12,70,184,3.4239,165
felicpe01,felip002,4.7778050600,117,77,3,28,73,3.4521,65
felizne01,felin001,5.1429669500,148,118,9,55,173,2.8613,166
fienca01,fienc001,6.3480830000,110,80,7,38,97,3.5258,105
fistedo01,fistd001,5.1948463900,119,765,41,293,754,3.4973,535
florera01,florr001,4.1542908700,58,32,2,11,30,3.3000,20
floydga01,floyg001,6.3695994400,96,572,34,273,571,4.3030,471
francfr01,franf001,7.4647311000,166,149,9,71,150,4.2600,166
francje01,franj003,4.1469675900,98,577,19,275,468,5.2885,297
frankry01,franr001,6.6093856200,80,101,7,51,92,4.9891,59
frasoja01,frasj002,6.9501290900,244,197,11,84,214,3.5327,223
frierer01,friee001,11.1982535400,226,159,9,71,227,2.8150,313
fulchje01,fulcj001,5.0547329600,89,90,3,51,81,5.6667,79
furbuch01,furbc001,6.5106244900,147,173,11,93,195,4.2923,200
gallayo01,gally001,5.9487228900,128,736,59,327,776,3.7925,755
garcifr02,garcf002,6.5046527200,101,518,35,241,490,4.4265,320
garcija01,garcj002,8.4810966900,231,167,23,54,218,2.2294,194
garcija02,garcj004,8.9084891200,89,551,38,201,533,3.3940,429
garlajo01,garlj001,4.9911375000,54,316,19,147,321,4.1215,196
garzama01,garzm001,5.7748176600,106,619,40,273,658,3.7340,579
gaudich01,gaudc001,7.6451945600,128,238,11,115,239,4.3305,208
gearrco01,gearc001,5.4819114800,77,64,3,33,69,4.3043,68
geedi01,gee-d001,5.3655280700,84,491,33,217,500,3.9060,370
gomesbr01,gomeb001,6.8930775200,81,68,7,36,72,4.5000,76
gomezje01,gomej002,5.3595564400,76,306,17,149,285,4.7053,165
gonzagi01,gonzg003,6.6727979700,129,664,63,279,795,3.1585,767
gonzami02,gonzm001,8.7670875800,207,158,3,75,162,4.1667,181
gorzeto01,gorzt001,8.0759987000,147,380,18,169,396,3.8409,359
grabojo02,grabj002,3.7726608300,86,102,4,54,87,5.5862,58
grayje02,grayj002,3.1128034100,86,122,7,63,108,5.2500,53
gregelu01,gregl001,6.7385753000,291,210,15,84,270,2.8000,259
greggke01,gregk001,3.2965609600,228,213,7,100,222,4.0541,204
greinza01,greiz001,6.5680040800,123,732,56,309,779,3.5700,730
grillja01,grilj001,13.0584035300,146,109,3,43,139,2.7842,201
guerrja01,guerj002,5.4423242800,101,96,4,33,101,2.9406,87
guerrma02,guerm001,3.0748868300,209,166,13,80,190,3.7895,131
guthrje01,guthj001,4.3867886700,132,848,43,380,808,4.2327,461
gutieju01,gutij002,6.0937498000,131,133,1,69,129,4.8140,115
hagadni01,hagan001,7.0874010300,72,54,2,42,67,5.6418,67
hallaro01,hallr001,5.6191824800,103,649,55,254,701,3.2611,622
hamelco01,hamec001,6.9832114200,129,749,51,299,859,3.1327,823
hammeja01,hammj002,7.4995734700,108,635,32,307,604,4.5745,444
hanrajo01,hanrj001,11.0056471800,214,164,10,68,203,3.0148,233
hansoto01,hanst001,7.5736844100,102,554,38,258,579,4.0104,532
happja01,happj001,7.1463006500,90,468,27,250,479,4.6973,425
haranaa01,haraa001,5.7270250100,107,634,35,293,603,4.3731,450
harenda01,hared001,6.2688935700,131,825,50,359,817,3.9547,701
harrelu01,harrl002,3.1653654000,85,416,18,203,387,4.7209,259
harrima01,harrm001,5.1418747700,102,484,35,199,486,3.6852,317
harriwi02,harrw002,6.7750106900,81,77,5,33,69,4.3043,72
hawkila01,hawkl001,5.6240655800,190,187,8,68,175,3.4971,124
hawksbl01,hawkb001,2.9365669100,94,158,6,74,142,4.6901,104
heilmaa01,heila001,4.4123948100,102,121,9,63,107,5.2991,88
hellije01,hellj001,3.8507341300,102,526,39,237,576,3.7031,409
hendeji01,hendj001,10.0057253800,97,70,6,30,89,3.0337,120
hendrma01,hendm001,3.1487707800,60,112,2,51,85,5.4000,60
henslcl01,hensc002,5.8852799200,165,166,13,83,191,3.9110,165
hernada01,hernd002,7.8066514100,249,219,20,114,278,3.6906,313
hernafe02,hernf002,7.8113759000,131,806,52,301,918,2.9510,893
hernali01,hernl003,3.2530141700,106,499,22,221,452,4.4004,261
herndda01,hernd003,3.4259856400,97,131,2,50,115,3.9130,76
herreda01,herrd001,5.7056219900,54,44,1,15,31,4.3548,19
herreke01,herrk001,6.3832535400,137,129,9,50,144,3.1250,151
herrmfr01,herrf001,4.7529782100,95,131,4,57,119,4.3109,72
hochelu01,hochl001,6.2964997300,139,545,30,291,555,4.7189,430
hollade01,holld003,6.7194330500,108,628,41,285,643,3.9891,550
hollagr01,hollg001,11.7248237600,196,158,14,57,210,2.4429,291
hoovejj01,hoovj002,5.4440749100,97,64,6,28,96,2.6250,98
horstje01,horsj001,4.7437011300,72,74,2,27,72,3.3750,70
howeljp01,howej003,7.4040932300,168,111,7,52,142,3.2958,122
hudsoti01,hudst001,4.6522201300,116,666,57,279,753,3.3347,494
hughedu01,hughd001,5.3479819900,72,78,2,38,68,5.0294,45
hugheja02,hughj001,4.2217250700,107,111,4,46,118,3.5085,83
hugheph01,hughp001,4.6052249500,110,612,43,303,586,4.6536,479
humbeph01,humbp001,5.7230544300,79,361,16,199,340,5.2676,253
hunteto02,huntt002,6.0353071900,144,458,30,205,430,4.2907,258
igarary01,igarr001,6.8417479200,83,81,5,52,72,6.5000,72
isrinja01,isrij001,6.9414880400,103,80,6,42,91,4.1538,75
iwakuhi01,iwakh001,9.2461884900,63,296,23,109,344,2.8517,286
jacksed01,jacke001,6.3518211500,126,809,40,370,770,4.3247,632
janseke01,jansk001,12.3901020900,216,123,12,52,220,2.1273,347
janssca01,jansc001,6.0853179300,229,204,16,75,238,2.8361,233
jenksbo01,jenkb001,8.0356087700,74,76,3,37,67,4.9701,78
jennida01,jennd003,4.0908062800,69,57,3,21,59,3.2034,46
jepseke01,jepsk001,4.5833669900,178,155,7,70,150,4.2000,141
jimenub01,jimeu001,7.9303826500,128,703,51,342,767,4.0130,731
johnsji04,johnj010,4.1246952100,240,239,12,79,255,2.7882,177
johnsjo09,johnj009,6.4250715400,84,479,24,195,515,3.4078,490
jonesna01,jonen001,5.1146927300,135,136,12,55,149,3.3221,154
jurrjja01,jurrj001,4.3828746900,56,343,23,151,323,4.2074,201
kazmisc01,kazms001,7.8654627300,58,325,19,175,308,5.1136,255
kellesh01,kells001,6.2711507600,136,123,9,53,121,3.9421,152
kellyjo05,kellj001,6.7480223400,61,236,15,79,230,3.0913,154
kendrky01,kendk001,3.9259554900,134,670,40,300,634,4.2587,369
kenneia01,kenni001,6.9711763400,129,745,52,345,803,3.8667,716
kershcl01,kersc001,9.4468922000,131,668,64,237,899,2.3726,921
kimbrcr01,kimbc001,14.7335417700,231,123,15,35,225,1.4000,381
kintzbr01,kintb001,5.3329220600,101,108,7,42,113,3.3451,96
kirkmmi01,kirkm001,6.5907753700,82,95,2,58,100,5.2200,100
kohnmi01,kohnm001,9.0536595800,101,73,3,37,85,3.9176,81
kontoge01,kontg001,5.6282123500,103,98,4,41,104,3.5481,97
kuoho01,kuo-h001,7.7415120000,96,53,4,35,86,3.6628,109
kurodhi01,kuroh001,6.4364247600,128,772,51,298,818,3.2787,637
lackejo01,lackj001,4.1512940100,90,615,36,293,563,4.6838,425
laffeaa01,laffa001,5.4945343200,103,247,9,112,219,4.6027,115
lannajo01,lannj001,3.2626104300,78,488,25,209,433,4.3441,232
latosma01,latom001,6.5958512400,127,694,51,290,797,3.2748,746
leagubr01,leagb001,3.4546994200,267,257,18,106,264,3.6136,183
leakemi01,leakm001,5.2525914900,114,711,42,300,675,4.0000,447
leblawa01,leblw001,3.9661981300,82,384,16,171,347,4.4352,237
lecursa01,lecus001,8.1806156300,169,203,9,94,242,3.4959,237
leecl02,lee-c003,7.0896813800,121,792,49,282,875,2.9006,852
lerouch01,leroc001,5.2190399100,58,69,1,35,61,5.1639,61
